Arctic	The geographic "home office" monitored by NORAD.
Red Nose	The biological "beacon" that shows up on infrared sensors.
Carrots	The fuel left on the roof for the propulsion team.
Scrooge	The Victorian boss who desperately needed a holiday intervention.
Grinch	The green hermit who attempted a mountain-top heist in Whoville.
Kringle	The "Kris" who serves as the CEO of the North Pole.
Blitzen	The team member whose name is German for "Lightning."
Donner	The team member whose name is German for "Thunder."
Tinsel	The shiny, metallic "icicles" that are a nightmare for vacuum cleaners.
Fruitcake	The dense, brick-like gift that is famously difficult to finish.
Mistletoe	The botanical "trap" that leads to a holiday kiss.
Eggnog	The thick, dairy-based drink often served in a glass moose mug.
Nutcracker	The wooden soldier who has a mechanical way of opening snacks.
Candy Cane	The peppermint-flavored walking stick of the sweets world.
Gingerbread	The architectural material used for edible housing.
Poinsettia	The red-leafed plant that becomes a household staple in December.
Coal	The geological consolation prize for those with bad behavior.
Wreath	The circular door decoration made of evergreens.
Chimney	The narrow, soot-covered portal used by the midnight visitor.
Workshop	The Arctic manufacturing plant that operates on a 364-day cycle.
Stocking	The oversized footwear that acts as a vessel for small gifts.
Sleigh	The runner-equipped craft that NORAD tracks across the globe.
Garland	The leafy or shiny "rope" draped across a mantle or banister.
Ornaments	The fragile baubles that weigh down the branches of a tree.
Macy's	The department store where "Miracle on 34th Street" takes place.
Hot Cocoa	The chocolatey beverage that usually requires a marshmallow topping.
Jingle Bells	The metallic instruments that provide the soundtrack for a "one-horse open sleigh."
Frosty	The "jolly happy soul" with a corn cob pipe and a button nose.
Ebenezer	The first name of the man who was visited by three ghosts.
Naughty	The list you want to stay off of if you value your gifts.
Nice	The list that NORAD's "VIP" checks twice.
Polar Express	The magical train that whisks children to the top of the world.
Sugarplums	The specific sweets that supposedly dance in children's dreams.
Yule Log	The traditional hearth wood that is now often a dessert or a TV broadcast.
Bow	The final ribbon flourish on top of a wrapped box.
Carolers	The group that arrives on your doorstep to sing for their "figgy pudding."
Twelve	The total number of days in the famous countdown song.
North Pole	The specific coordinates where the tracking mission begins every year.
Milk	The beverage that usually accompanies a plate of cookies.
Elf	The "on the shelf" scout who reports back to headquarters.
